"Time_period","Site","Temp_mean","Temp_min","Temp_max","Temp_range","VPD_mean","VPD_min","VPD_max","VPD_range"
"All",99,11.1084754739181,6.21870796460177,16.8779115044248,10.659203539823,505.668868552825,119.664413484909,1137.7194248653,1018.05501138039
"All",103,10.4148516970965,4.44833628318584,17.7923008849558,13.3439646017699,465.462328128206,34.7068773983523,1311.74579776946,1277.03892037111
"All",104,10.382957645722,4.38695575221239,18.4566194690265,14.0696637168142,477.194706784291,36.0482619230273,1391.59636711082,1355.54810518779
"All",106,10.8328294586436,5.74251327433628,18.6315309734513,12.889017699115,517.284658918101,90.1593948685244,1456.27711242605,1366.11771755753
"All",108,11.514007176943,7.06709734513274,18.1844690265487,11.1173716814159,572.985375717481,201.603278293478,1321.05189988974,1119.44862159626
"All",110,10.3474741174509,3.98901769911504,18.3614424778761,14.3724247787611,485.685158883248,40.1737631214971,1311.86466836804,1271.69090524654
"All",111,10.5781083580873,3.90740707964602,18.793203539823,14.885796460177,524.977154055812,34.3599077601927,1426.24518076835,1391.88527300816
"All",112,10.1654444642133,4.67634513274336,17.2752477876106,12.5989026548673,449.012372992641,60.1749624336501,1185.72234532975,1125.5473828961
"All",114,11.499293420935,6.4163982300885,20.3775663716814,13.9611681415929,575.863708094741,99.9911987966634,1743.23150706615,1643.24030826949
"Month 1",5,10.5898252688172,7.0961935483871,15.0318709677419,7.93567741935484,213.389869184447,13.4313948394419,614.421177639996,600.989782800555
"Month 2",5,12.1764979763879,7.59590476190476,20.0928571428571,12.4969523809524,663.887938862267,250.718264752991,1537.83246778288,1287.11420302989
"Month 11",5,12.6299093660969,8.76866666666667,17.8175333333333,9.04886666666667,NA,NA,NA,NA
"Month 12",5,9.77243862007168,5.94812903225806,14.4503870967742,8.50225806451613,NA,NA,NA,NA
"Month 1",9,10.6212934587814,6.17325806451613,16.7591935483871,10.585935483871,278.730877540727,16.6845471174073,886.725010920509,870.040463803102
