PlateID,LichenID,TeamID,Thallus_location,Infected,Lichen_mass_mg,Frac_extract,Init_vol_ml,Dilution_factor,Plate_vol_ml,Incubation_days,Incubation_temp_C,Num_colonies,Num_morphotypes,Notes,Exclude,Verified
W17-T27-L3-P2,W17-T27-L3,W17-6,internal,,80,0.8,1,1,0.1,14,22,0,0,,,TRUE
W17-T27-L4-P1,W17-T27-L4,W17-6,internal,FALSE,67,0.8,1,1,0.1,14,22,17,3,,,TRUE
W17-T27-L4-P2,W17-T27-L4,W17-6,internal,TRUE,5.86,0.8,1,1,0.1,14,22,1,1,,,TRUE
W17-T41-L1-P1,W17-T41-L1,W17-6,internal,FALSE,63.2,0.8,1,1,0.1,14,22,0,0,,,TRUE
W17-T41-L1-P2,W17-T41-L1,W17-6,internal,TRUE,67.1,0.8,1,1,0.1,14,22,0,0,,,TRUE
W17-T46-L1-P2,W17-T46-L1,W17-6,internal,TRUE,55.8,0.8,1,1,0.1,14,22,0,0,,,TRUE
W17-T46-L1-P1,W17-T46-L1,W17-6,internal,FALSE,54.2,0.8,1,1,0.1,14,22,0,0,,,TRUE
W17-T8-L1-P1,W17-T8-L1,W17-6,internal,TRUE,73.1,0.8,1,1,0.1,14,22,0,0,,,TRUE
W17-T8-L1-P2,W17-T8-L1,W17-6,internal,FALSE,79.4,0.8,1,1,0.1,14,22,0,0,,,TRUE
W17-T13-L1-P1,W17-T13-L1,W17-7,external,FALSE,0.05207,0.8,1,1,0.1,14,22,0,0,,,TRUE
W17-T13-L1-P2,W17-T13-L1,W17-7,internal,TRUE,0.05921,0.8,1,1,0.1,14,22,0,0,,,TRUE
W17-T17-L1-P1,W17-T17-L1,W17-7,external,,18,0.8,1,1,0.1,14,22,15,2,,,TRUE
W17-T17-L1-P2,W17-T17-L1,W17-7,internal,,18,0.8,1,1,0.1,14,22,0,0,,,TRUE
W17-T17-L2-P1,W17-T17-L2,W17-7,external,,14.1,0.8,1,1,0.1,14,22,4,1,,,TRUE
W17-T17-L2-P2,W17-T17-L2,W17-7,internal,,14.1,0.8,1,1,0.1,14,22,1,1,,,TRUE
W17-T17-L3-P1,W17-T17-L3,W17-7,external,,11.8,0.8,1,1,0.1,14,22,1,1,,,TRUE
W17-T17-L3-P2,W17-T17-L3,W17-7,internal,,11.8,0.8,1,1,0.1,14,22,0,0,,,TRUE
W17-T17-L4-P1,W17-T17-L4,W17-7,external,FALSE,0.05019,0.8,1,1,0.1,14,22,0,0,,,TRUE
W17-T17-L4-P2,W17-T17-L4,W17-7,internal,TRUE,0.05272,0.8,1,1,0.1,14,22,0,0,,,TRUE
W17-T32-L1-P1,W17-T32-L1,W17-7,external,,24.5,0.8,1,1,0.1,14,22,3,2,,,TRUE
W17-T32-L1-P2,W17-T32-L1,W17-7,internal,,24.5,0.8,1,1,0.1,14,22,8,1,,,TRUE
W17-T32-L2-P1,W17-T32-L2,W17-7,external,,36.3,0.8,1,1,0.1,14,22,46,2,,,TRUE
W17-T32-L2-P2,W17-T32-L2,W17-7,internal,,36.3,0.8,1,1,0.1,14,22,0,0,,,TRUE
W17-T32-L3-P1,W17-T32-L3,W17-7,external,,24.8,0.8,1,1,0.1,14,22,8,2,,,TRUE
W17-T32-L3-P2,W17-T32-L3,W17-7,internal,,24.8,0.8,1,1,0.1,14,22,0,0,,,TRUE
W17-T32-L4-P1,W17-T32-L4,W17-7,external,FALSE,0.04976,0.8,1,1,0.1,14,22,0,0,,,TRUE
W17-T32-L4-P2,W17-T32-L4,W17-7,internal,TRUE,0.06421,0.8,1,1,0.1,14,22,0,0,,,TRUE
W17-T47-L1-P1,W17-T47-L1,W17-7,external,FALSE,0.05251,0.8,1,1,0.1,14,22,0,0,,,TRUE
W17-T47-L1-P2,W17-T47-L1,W17-7,internal,FALSE,0.05853,0.8,1,1,0.1,14,22,0,0,,,TRUE
W17-T9-L1-P1,W17-T9-L1,W17-7,external,TRUE,0.04751,0.8,1,1,0.1,14,22,0,0,,,TRUE
W17-T9-L1-P2,W17-T9-L1,W17-7,internal,FALSE,0.05876,0.8,1,1,0.1,14,22,0,0,,,TRUE
W17-T14-L1-P1,W17-T14-L1,W17-8,internal,TRUE,48,0.8,1,1,0.1,14,22,,,,,TRUE
W17-T14-L1-P2,W17-T14-L1,W17-8,internal,FALSE,50,0.8,1,1,0.1,14,22,0,0,,,
W17-T30-L1-P1,W17-T30-L1,W17-8,internal,TRUE,50,0.8,1,1,0.1,14,22,,,,,TRUE
W17-T30-L1-P2,W17-T30-L1,W17-8,internal,FALSE,55,0.8,1,1,0.1,14,22,0,0,,,
W17-T43-L1-P1,W17-T43-L1,W17-8,internal,TRUE,48,0.8,1,1,0.1,14,22,,,,,TRUE
W17-T43-L1-P2,W17-T43-L1,W17-8,internal,FALSE,51,0.8,1,1,0.1,14,22,0,0,,,
W17-T48-L1-P1,W17-T48-L1,W17-8,internal,TRUE,48,0.8,1,1,0.1,14,22,,,,,TRUE
W17-T48-L1-P2,W17-T48-L1,W17-8,internal,FALSE,47,0.8,1,1,0.1,14,22,0,0,,,
W17-T49-L1-P1,W17-T49-L1,W17-8,external,,5,0.8,1,1,0.1,14,22,3,2,,,TRUE
W17-T49-L1-P2,W17-T49-L1,W17-8,internal,,5,0.8,1,1,0.1,14,22,0,0,,,TRUE
W17-T49-L2-P1,W17-T49-L2,W17-8,external,,5,0.8,1,1,0.1,14,22,0,0,,,TRUE
W17-T49-L2-P2,W17-T49-L2,W17-8,internal,,5,0.8,1,1,0.1,14,22,0,0,,,TRUE
W17-T49-L3-P1,W17-T49-L3,W17-8,external,,4,0.8,1,1,0.1,14,22,0,0,,,TRUE
W17-T49-L3-P2,W17-T49-L3,W17-8,internal,,4,0.8,1,1,0.1,14,22,0,0,,,TRUE
W17-T49-L4-P1,W17-T49-L4,W17-8,internal,TRUE,50,0.8,1,1,0.1,14,22,,,,,TRUE
W17-T49-L4-P2,W17-T49-L4,W17-8,internal,FALSE,50,0.8,1,1,0.1,14,22,0,0,,,
W17-T54-L1-P1,W17-T54-L1,W17-8,external,,20,0.8,1,1,0.1,14,22,0,0,,,TRUE
W17-T54-L1-P2,W17-T54-L1,W17-8,internal,,20,0.8,1,1,0.1,14,22,1,1,,,TRUE
W17-T54-L2-P1,W17-T54-L2,W17-8,external,,33,0.8,1,1,0.1,14,22,0,0,,,TRUE
W17-T54-L2-P2,W17-T54-L2,W17-8,internal,,33,0.8,1,1,0.1,14,22,25,4,,,TRUE
W17-T54-L3-P1,W17-T54-L3,W17-8,external,,90,0.8,1,1,0.1,14,22,0,0,,,TRUE
W17-T54-L3-P2,W17-T54-L3,W17-8,internal,,90,0.8,1,1,0.1,14,22,1,1,,,TRUE
W17-T54-L4-P1,W17-T54-L4,W17-8,internal,TRUE,52,0.8,1,1,0.1,14,22,,,,,TRUE
W17-T54-L4-P2,W17-T54-L4,W17-8,internal,FALSE,52,0.8,1,1,0.1,14,22,0,0,,,
